,Unnamed: 0,url,expose_id,city,living_space,purchase_price,monthly_price,notary_costs,entry_land_register,land_transfer,broker_commission_percentage,broker_commission,total_additional_costs,foreclosure,rent_price_index,price_per_m2,total_purchase_price,equity,debt,interest_rate_monthly,mortgage_payment_yearly,mortgage_payment_monthly,monthly_rent,additional_costs,cashflow,ROI
54,54,https://www.immobilienscout24.de/expose/122588038,122588038,Magdeburg,62.0,75000.0,174.0,1125.0,375.0,3750.0,0.0,0.0,5250.0,False,7.17,1209.6774193548388,80250.0,16050.0,64200.0,53.5,1284.0,107.0,444.54,55.8,228.24,0.17064672897196262
55,55,https://www.immobilienscout24.de/expose/122595983,122595983,Magdeburg,70.09,95000.0,252.0,1425.0,475.0,4750.0,6.96,6612.0,13262.0,False,7.17,1355.4001997431872,108262.0,21652.4,86609.6,72.1746666666667,1732.1920000000002,144.3493333333334,502.5453,63.081,222.9403,0.12355598455598453
61,61,https://www.immobilienscout24.de/expose/122319240,122319240,Magdeburg,41.76,77500.0,179.0,1162.5,387.5,3875.0,0.0,0.0,5425.0,False,6.05,1855.8429118773947,82925.0,16585.0,66340.0,55.28333333333333,1326.8,110.56666666666666,252.648,37.584,49.213999999999984,0.03560856195357249
63,63,https://www.immobilienscout24.de/expose/112295205,112295205,Magdeburg,59.2,79000.0,208.0,1185.0,395.0,3950.0,5.95,4700.5,10230.5,False,6.05,1334.4594594594596,89230.5,17846.100000000002,71384.4,59.487,1427.688,118.974,358.16,53.28,126.419,0.08500613579437524
64,64,https://www.immobilienscout24.de/expose/119626144,119626144,Magdeburg,38.0,58900.0,157.0,883.5,294.5,2945.0,7.14,4205.46,8328.46,False,6.05,1550.0,67228.45999999999,13445.692,53782.768,44.81897333333333,1075.65536,89.63794666666666,229.9,34.2,61.243080000000006,0.05465817304159578
65,65,https://www.immobilienscout24.de/expose/119626434,119626434,Magdeburg,49.0,75000.0,200.0,1125.0,375.0,3750.0,7.14,5355.0,10605.0,False,6.05,1530.6122448979593,85605.0,17121.0,68484.0,57.07,1369.68,114.14,296.45,44.1,81.13999999999999,0.05687050990012265
66,66,https://www.immobilienscout24.de/expose/119626511,119626511,Magdeburg,47.0,72000.0,192.0,1080.0,360.0,3600.0,7.14,5140.8,10180.8,False,6.05,1531.914893617021,82180.8,16436.16,65744.64,54.78720000000001,1314.8928,109.5744,284.35,42.3,77.68839999999993,0.056720109806670124
67,67,https://www.immobilienscout24.de/expose/119626587,119626587,Magdeburg,42.17,65363.5,174.0,980.4525,326.8175,3268.175,7.14,4666.9539,9242.3989,False,6.05,1550.0,74605.8989,14921.17978,59684.71912,49.73726593333333,1193.6943824,99.47453186666668,255.1285,37.953,67.9637022,0.054658173041595766
70,70,https://www.immobilienscout24.de/expose/119362376,119362376,Magdeburg,40.0,62000.0,161.0,930.0,310.0,3100.0,5.0,3100.0,7440.0,False,6.05,1550.0,69440.0,13888.0,55552.0,46.29333333333333,1111.04,92.58666666666666,242.0,36.0,67.12000000000002,0.057995391705069135
71,71,https://www.immobilienscout24.de/expose/121013186,121013186,Magdeburg,71.0,90000.0,240.0,1350.0,450.0,4500.0,7.14,6426.0,12726.0,False,7.17,1267.605633802817,102726.0,20545.2,82180.8,68.484,1643.616,136.968,509.07,63.9,239.71800000000005,0.14001401787278786
75,75,https://www.immobilienscout24.de/expose/122530051,122530051,Magdeburg,60.47,90000.0,208.0,1350.0,450.0,4500.0,0.0,0.0,6300.0,False,7.17,1488.341326277493,96300.0,19260.0,77040.0,64.2,1540.8,128.4,433.5699,54.423,186.5469,0.1162285981308411
76,76,https://www.immobilienscout24.de/expose/104449494,104449494,Magdeburg,65.0,99000.0,229.0,1485.0,495.0,4950.0,0.0,0.0,6930.0,False,7.17,1523.0769230769229,105930.0,21186.0,84744.0,70.62,1694.88,141.24,466.05,58.5,195.69,0.11084112149532707
78,78,https://www.immobilienscout24.de/expose/112737941,112737941,Magdeburg,62.0,69000.0,177.0,1035.0,345.0,3450.0,3.62,2497.8,7327.8,False,7.17,1112.9032258064515,76327.8,15265.56,61062.24000000001,50.88520000000001,1221.2448000000004,101.7704,444.54,55.8,236.0844,0.1855819766847728
81,81,https://www.immobilienscout24.de/expose/116416984,116416984,Magdeburg,47.0,96000.0,256.0,1440.0,480.0,4800.0,7.14,6854.4,13574.4,False,6.05,2042.5531914893616,109574.4,21914.88,87659.51999999999,73.04959999999998,1753.1903999999995,146.09919999999997,284.35,42.3,22.9012,0.012540082355002627
84,84,https://www.immobilienscout24.de/expose/121302009,121302009,Magdeburg,65.0,90000.0,236.0,1350.0,450.0,4500.0,5.8,5220.0,11520.0,False,7.17,1384.6153846153845,101520.0,20304.0,81216.0,67.67999999999999,1624.32,135.36,466.05,58.5,204.51,0.12086879432624112
85,85,https://www.immobilienscout24.de/expose/121784627,121784627,Magdeburg,48.39,59000.0,136.0,885.0,295.0,2950.0,0.0,0.0,4130.0,False,6.05,1219.26017772267,63130.0,12626.0,50504.0,42.086666666666666,1010.08,84.17333333333333,292.7595,43.551,122.9485,0.11685268493584668
86,86,https://www.immobilienscout24.de/expose/121784628,121784628,Magdeburg,56.8,83000.0,192.0,1245.0,415.0,4150.0,0.0,0.0,5810.0,False,6.05,1461.2676056338032,88810.0,17762.0,71048.0,59.20666666666667,1420.96,118.41333333333334,343.64,51.12,114.89999999999998,0.07762639342416393
87,87,https://www.immobilienscout24.de/expose/121784629,121784629,Magdeburg,56.3,65000.0,150.0,975.0,325.0,3250.0,0.0,0.0,4550.0,False,6.05,1154.5293072824154,69550.0,13910.0,55640.0,46.36666666666667,1112.8,92.73333333333332,340.6149999999999,50.67,150.8449999999999,0.13013227893601714
88,88,https://www.immobilienscout24.de/expose/121784630,121784630,Magdeburg,56.65,64000.0,148.0,960.0,320.0,3200.0,0.0,0.0,4480.0,False,6.05,1129.7440423654014,68480.0,13696.0,54784.0,45.65333333333334,1095.68,91.30666666666669,342.7325,50.985,154.78749999999997,0.13561988901869154
92,92,https://www.immobilienscout24.de/expose/112890730,112890730,Magdeburg,102.0,89000.0,236.0,1335.0,445.0,4450.0,6.96,6194.4,12424.4,False,7.17,872.5490196078432,101424.4,20284.88,81139.51999999999,67.61626666666666,1622.7904,135.23253333333332,731.34,91.8,436.6912,0.25833499631252443
95,95,https://www.immobilienscout24.de/expose/120741119,120741119,Magdeburg,51.15,69000.0,189.0,1035.0,345.0,3450.0,10.14,6996.6,11826.6,False,6.05,1348.9736070381234,80826.6,16165.320000000003,64661.28000000001,53.88440000000001,1293.2256000000002,107.7688,309.4575,46.035,101.76929999999996,0.07554639190563499
96,96,https://www.immobilienscout24.de/expose/122592789,122592789,Magdeburg,61.0,83000.0,221.0,1245.0,415.0,4150.0,7.14,5926.2,11736.2,False,7.17,1360.655737704918,94736.2,18947.24,75788.95999999999,63.15746666666666,1515.7792,126.31493333333331,437.37,54.9,192.9976,0.12223264179901662
107,107,https://www.immobilienscout24.de/expose/121773830,121773830,Magdeburg,70.0,82000.0,218.0,1230.0,410.0,4100.0,6.96,5707.2,11447.2,False,7.17,1171.4285714285713,93447.2,18689.44,74757.76,62.29813333333333,1495.1552,124.59626666666666,501.9,63.0,252.0056,0.16180619644034278
109,109,https://www.immobilienscout24.de/expose/121522378,121522378,Magdeburg,55.1,75000.0,200.0,1125.0,375.0,3750.0,7.14,5355.0,10605.0,False,6.05,1361.1615245009075,85605.0,17121.0,68484.0,57.07,1369.68,114.14,333.355,49.59,112.55500000000004,0.07888908358156653
6,6,https://www.immobilienscout24.de/expose/114589273,114589273,Rostock,55.14,93800.0,275.0,1407.0,469.0,5628.0,0.0,0.0,7504.0,False,11.49,1701.1244105912226,101304.0,20260.800000000007,81043.2,67.536,1620.864,135.072,633.5586000000002,49.62600000000001,381.3246,0.2258496801705757
20,20,https://www.immobilienscout24.de/expose/114429885,114429885,Rostock,32.82,56000.0,195.0,840.0,280.0,3360.0,7.14,3998.4,8478.4,False,11.49,1706.2766605728214,64478.4,12895.68,51582.72,42.98560000000001,1031.6544,85.97120000000002,377.1018,29.538,218.60700000000003,0.2034234720464528
38,38,https://www.immobilienscout24.de/expose/122171779,122171779,Rostock,32.0,90000.0,264.0,1350.0,450.0,5400.0,0.0,0.0,7200.0,False,11.49,2812.5,97200.0,19440.0,77760.0,64.8,1555.2,129.6,367.68,28.8,144.48,0.08918518518518517
42,42,https://www.immobilienscout24.de/expose/122555535,122555535,Rostock,47.0,69500.0,242.0,1042.5,347.5,4170.0,6.96,4837.2,10397.2,False,11.49,1478.7234042553189,79897.2,15979.44,63917.76,53.2648,1278.3552,106.5296,540.03,42.3,337.9356,0.25377780447875514
50,50,https://www.immobilienscout24.de/expose/122568195,122568195,Rostock,55.34,100000.0,349.0,1500.0,500.0,6000.0,7.14,7140.0,15140.0,False,11.49,1807.0112034694614,115140.0,23028.0,92112.0,76.76,1842.24,153.52,635.8566000000002,49.806,355.7706000000002,0.18539374674309544
52,52,https://www.immobilienscout24.de/expose/122105732,122105732,Rostock,60.9,91400.0,268.0,1371.0,457.0,5484.0,0.0,0.0,7312.0,False,11.75,1500.8210180623971,98712.0,19742.4,78969.6,65.808,1579.392,131.616,715.5749999999998,54.81,463.341,0.2816320204230489
54,54,https://www.immobilienscout24.de/expose/119412362,119412362,Rostock,47.0,89000.0,311.0,1335.0,445.0,5340.0,7.14,6354.6,13474.6,False,11.49,1893.617021276596,102474.6,20494.92,81979.68000000001,68.3164,1639.5936000000004,136.6328,540.03,42.3,292.78079999999994,0.17142636321586027
